,gas_temp,dust_temp,Chem_1,Chem_2,Chem_3,Chem_4,Chem_5,Chem_6,Chem_7,Chem_8
0,0.26259375,0.37392032,0.6479269,0.17303044,0.07164201,0.11073581,0.5743761,0.005981852,0.23095447,0.45265383
0,0.26259375,0.37392032,0.6479269,0.17303045,0.07164202,0.11073581,0.5743761,0.00598185,0.23095447,0.45265383
0,0.26259375,0.3739203,0.6479269,0.17303044,0.07164201,0.11073582,0.5743761,0.0059818514,0.23095447,0.45265383
0,0.2625937,0.37392056,0.6479276,0.17303033,0.071641974,0.11073559,0.5743753,0.0059818416,0.23095587,0.45265394
0,0.44194388,0.32689393,0.56897384,0.22681999,0.12413607,0.10513452,0.59284145,0.033385884,0.48689413,0.4477803
0,0.26259375,0.37392026,0.6479269,0.17303045,0.07164201,0.110735804,0.5743761,0.005981848,0.23095447,0.45265383
0,0.26259375,0.37392032,0.6479269,0.17303045,0.07164202,0.11073581,0.5743761,0.00598185,0.23095447,0.45265383
0,0.26259327,0.37392217,0.6479322,0.1730294,0.071641505,0.11073385,0.574369,0.005981795,0.23096666,0.4526548
0,0.26259375,0.37392026,0.6479269,0.17303047,0.07164203,0.11073581,0.5743761,0.005981851,0.23095447,0.45265383
